"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races"
"0500000US37133","Onslow County, North Carolina","179471","*****","135303","2032","29556","1070","1237","721","3665","552","436","263","3104","1357","6170","1820","2020","1132","4150","1292"
"0500000US37135","Orange County, North Carolina","134197","*****","103665","1417","16095","654","222","304","9187","615","0","289","2066","1379","2962","1138","518","475","2444","1047"
"0500000US37147","Pitt County, North Carolina","168817","*****","99480","1326","58036","1212","450","568","2458","406","0","289","5660","1418","2733","1231","230","288","2503","1126"
"0500000US37151","Randolph County, North Carolina","141960","*****","125162","1978","7320","1044","612","294","1637","289","49","80","4783","1936","2397","800","0","289","2397","800"
"0500000US37155","Robeson County, North Carolina","134473","*****","43669","2036","32487","477","50146","1725","1127","40","132","208","2902","1845","4010","1658","497","585","3513","1683"
"0500000US37157","Rockingham County, North Carolina","93641","*****","70766","886","17185","1452","152","180","593","101","0","289","2669","954","2276","1425","0","289","2276","1425"
"0500000US37159","Rowan County, North Carolina","138446","*****","105617","1543","23372","1108","815","554","1432","224","0","289","6008","1541","1202","611","52","85","1150","603"
"0500000US37171","Surry County, North Carolina","73694","*****","67202","1212","2190","983","574","507","344","319","24","46","1958","1131","1402","656","172","259","1230","614"
"0500000US37179","Union County, North Carolina","202206","*****","167229","2077","22735","1698","793","327","3107","567","0","289","3455","1877","4887","2117","1937","1568","2950","1247"
"0500000US37183","Wake County, North Carolina","906969","*****","622164","4642","187646","2963","2794","1175","48923","1714","112","130","24374","4863","20956","3451","3832","1968","17124","3305"
"0500000US37191","Wayne County, North Carolina","122907","*****","69809","724","39155","687","192","189","1694","337","126","214","9506","1160","2425","1068","526","485","1899","969"
"0500000US37193","Wilkes County, North Carolina","69287","*****","62980","1348","2943","615","129","210","352","388","0","289","2377","1348","506","382","0","289","506","382"
"0500000US37195","Wilson County, North Carolina","81359","*****","41237","872","32193","804","157","186","384","239","0","289","6272","977","1116","737","256","348","860","616"
"0500000US38015","Burleigh County, North Dakota","81666","*****","75830","363","317","321","2848","857","217","116","81","143","96","144","2277","732","26","43","2251","731"
"0500000US38017","Cass County, North Dakota","150230","*****","137481","734","3514","611","1360","457","3539","624","0","211","1032","386","3304","1181","518","492","2786","961"
"0500000US38035","Grand Forks County, North Dakota","66991","*****","60155","413","1874","460","1830","502","1533","166","29","54","558","485","1012","513","34","72","978","490"
"0500000US39003","Allen County, Ohio","106205","*****","87840","1009","12958","1266","302","96","873","179","0","269","1581","1019","2651","1099","162","229","2489","1087"
"0500000US39007","Ashtabula County, Ohio","101429","*****","94095","732","3515","880","168","212","283","264","0","269","378","300","2990","960","184","322","2806","1021"
"0500000US39017","Butler County, Ohio","368630","*****","319108","2139","27940","1634","833","624","9905","375","348","462","4445","2065","6051","2154","704","623","5347","2029"
"0500000US39023","Clark County, Ohio","138193","*****","118405","610","12846","966","179","222","1069","251","0","269","3455","681","2239","896","54","96","2185","886"
"0500000US39025","Clermont County, Ohio","197604","*****","189819","1005","2468","545","360","284","1325","878","0","269","601","990","3031","1039","71","117","2960","1054"
"0500000US39029","Columbiana County, Ohio","107800","*****","103095","387","2172","442","72","122","517","331","0","269","766","492","1178","391","0","269","1178","391"
"0500000US39035","Cuyahoga County, Ohio","1278208","*****","822857","3541","377263","3411","3202","911","32836","1054","49","83","11477","2427","30524","3690","4907","1991","25617","3193"
"0500000US39041","Delaware County, Ohio","175250","*****","158252","322","6402","439","0","269","8820","433","0","269","246","215","1530","596","132","212","1398","573"
"0500000US39043","Erie County, Ohio","77070","*****","67584","300","5586","1213","282","333","393","200","0","269","431","269","2794","1166","12","21","2782","1166"
"0500000US39049","Franklin County, Ohio","1165897","*****","816908","4279","249476","5197","1990","1053","46025","1425","304","451","17907","3675","33287","4778","2121","1093","31166","4941"
"0500000US39055","Geauga County, Ohio","93408","*****","90432","403","458","305","0","269","681","160","0","269","57","100","1780","569","276","319","1504","453"
"0500000US39057","Greene County, Ohio","161605","*****","139493","693","12212","749","151","178","4638","487","35","58","1527","855","3549","1012","32","60","3517","1005"
"0500000US39061","Hamilton County, Ohio","802252","*****","553867","2357","206307","2721","1986","801","15568","1385","0","269","6183","2624","18341","3342","544","370","17797","3298"
"0500000US39085","Lake County, Ohio","230101","*****","213485","1526","8390","776","162","216","2843","395","0","269","2717","1370","2504","890","498","596","2006","757"
"0500000US39089","Licking County, Ohio","166701","*****","155967","489","6021","757","151","262","1441","256","0","269","325","442","2796","857","109","130","2687","837"
"0500000US39093","Lorain County, Ohio","301449","*****","254085","2315","26903","1492","838","385","3284","269","41","83","6484","2044","9814","1703","2766","1422","7048","1791"
"0500000US39095","Lucas County, Ohio","441468","*****","328567","2179","84331","2398","1106","468","7184","773","441","397","6708","2163","13131","2802","1997","968","11134","2591"
