State,County_Name,2006,2007,2008,2009,2010,2011,2012,Percent Change 2002-2012,Percent Change 2005-2012
AL,Autauga County,38.8,40.6,41.2,40.8,42.5,43.6,42.5,7.9,4.5
AL,Baldwin County,53.1,54.2,55.1,53.6,54.6,57.0,55.7,3.2,2.2
AL,Barbour County,34.4,35.5,37.0,35.2,38.6,39.4,37.6,4.6,0.7
AL,Bibb County,32.0,33.1,34.2,33.3,34.4,36.7,35.8,15.3,5.7
AL,Blount County,32.5,33.3,34.1,32.3,33.5,36.0,34.9,9.4,1.4
AL,Bullock County,33.9,34.2,36.5,36.2,37.6,38.9,37.1,6.4,8.6
AL,Butler County,34.0,34.8,35.6,33.2,35.2,38.2,35.8,3.8,1.7
AL,Calhoun County,37.8,38.8,38.9,37.3,37.3,39.6,38.2,0.5,-3.6
AL,Chambers County,35.0,37.2,36.7,36.3,37.2,40.4,39.5,11.3,7.4
AL,Cherokee County,30.4,30.8,31.9,30.3,30.7,31.5,31.6,1.3,-2.4
AL,Chilton County,29.9,31.1,31.6,30.6,31.8,34.0,32.3,5.6,1.6
AL,Choctaw County,29.7,30.9,31.5,31.2,33.3,33.2,33.7,14.4,11.4
AL,Clarke County,32.2,33.8,34.6,31.9,33.2,34.7,35.0,6.0,2.0
AL,Clay County,28.7,29.3,29.8,28.5,29.8,32.3,31.0,7.1,2.9
AL,Cleburne County,29.6,30.6,30.8,29.8,31.0,32.2,30.5,3.7,-2.1
AL,Coffee County,38.9,38.8,40.2,40.2,40.5,43.4,41.7,5.8,3.7
AL,Colbert County,34.8,35.2,36.2,34.0,34.7,37.1,37.2,13.3,1.5
AL,Conecuh County,33.6,35.1,36.5,35.6,37.2,39.5,37.2,17.2,7.7
AL,Coosa County,33.1,33.7,34.7,33.4,34.3,35.1,35.2,4.1,1.9
AL,Covington County,34.4,34.7,35.8,35.2,37.4,38.6,37.6,12.1,5.7
AL,Crenshaw County,30.1,30.9,31.5,31.4,32.5,34.7,32.4,1.0,5.3
AL,Cullman County,31.8,32.5,32.9,30.2,31.5,34.2,33.5,3.0,-1.4
AL,Dale County,38.8,39.2,40.4,40.1,40.9,42.0,40.0,-2.5,-2.5
AL,Dallas County,38.2,38.7,39.7,36.6,38.1,40.6,39.0,0.4,2.0
AL,DeKalb County,30.0,30.4,31.0,28.1,29.4,31.2,31.3,5.0,0.9
AL,Elmore County,40.3,41.7,42.9,42.4,44.1,45.6,43.9,8.1,5.4
AL,Escambia County,33.7,34.8,35.9,36.2,37.0,40.1,37.9,16.4,9.0
AL,Etowah County,37.3,38.0,38.5,37.0,37.9,39.3,38.6,5.2,-1.9
AL,Fayette County,28.1,28.7,28.7,27.6,27.6,31.5,32.1,18.7,9.2
AL,Franklin County,28.6,28.1,28.6,27.0,28.8,31.8,31.2,18.5,5.2
AL,Geneva County,32.3,32.8,33.1,32.6,33.5,34.7,33.5,-2.0,-1.4
AL,Greene County,33.6,34.7,36.2,35.7,35.3,37.6,37.0,6.8,6.6
AL,Hale County,33.9,35.2,35.8,34.6,36.1,38.0,37.1,11.6,8.5
AL,Henry County,32.6,33.3,34.3,35.1,36.9,38.5,36.4,12.4,7.5
AL,Houston County,41.0,42.1,42.8,42.3,43.2,44.8,42.4,-1.6,-1.5
AL,Jackson County,30.2,30.5,31.4,29.4,30.1,32.7,33.2,14.2,6.4
AL,Jefferson County,47.7,48.4,49.9,48.2,49.6,52.1,50.7,4.9,2.6
AL,Lamar County,26.5,27.0,27.9,26.4,27.4,30.2,29.2,13.9,3.6
AL,Lauderdale County,33.4,34.2,35.7,34.8,35.8,38.9,37.4,20.1,7.7
AL,Lawrence County,27.4,28.3,28.8,27.3,28.6,31.0,29.9,15.7,5.1
AL,Lee County,46.3,47.6,49.9,48.8,49.8,51.0,48.1,-0.2,2.0
AL,Limestone County,33.8,35.3,36.5,34.7,36.4,39.1,39.3,24.4,10.7
AL,Lowndes County,34.9,35.6,37.1,35.6,36.9,39.5,38.2,6.7,6.3
AL,Macon County,40.4,41.4,42.5,39.9,42.2,44.1,41.8,0.7,1.2
AL,Madison County,46.9,47.9,48.6,47.3,48.1,50.2,50.7,11.8,3.6
AL,Marengo County,35.5,37.6,37.7,36.2,37.9,40.4,38.6,3.9,4.2
AL,Marion County,26.9,27.2,27.4,25.4,27.0,28.8,28.9,15.8,2.4
AL,Marshall County,35.6,35.8,36.8,35.4,36.8,39.4,38.1,11.4,2.7
AL,Mobile County,46.4,46.8,47.8,46.7,47.5,50.2,48.3,3.2,1.1
AL,Monroe County,32.8,33.5,34.3,32.6,32.5,35.1,36.1,7.2,4.4
AL,Montgomery County,46.7,47.6,48.8,48.3,49.5,51.2,49.8,4.9,2.8
AL,Morgan County,37.2,38.8,39.3,36.9,38.9,41.0,40.8,11.0,3.1
AL,Perry County,34.3,35.2,35.9,34.8,34.7,38.1,36.3,6.9,3.7
AL,Pickens County,29.5,30.5,30.6,28.7,30.6,32.5,32.3,9.5,4.1
